launchangle,launchspeed,pitchtype,outcome,bbtype
19,101,Four-Seam Fastball,double,line_drive
43,73,Slider,double,fly_ball
0,102,Slider,double,ground_ball
22,103,Slider,double,fly_ball
29,90,Four-Seam Fastball,double,fly_ball
22,94,Curveball,double,line_drive
8,83,Four-Seam Fastball,double,ground_ball
55,99,Four-Seam Fastball,double,fly_ball
24,96,Slider,double,line_drive
18,108,Four-Seam Fastball,double,line_drive
5,90,Changeup,double,ground_ball
18,103,Slider,double,line_drive
18,107,Four-Seam Fastball,double,line_drive
35,90,Four-Seam Fastball,double,fly_ball
11,109,Slider,double,line_drive
11,104,Four-Seam Fastball,double,line_drive
6,104,Four-Seam Fastball,double,ground_ball
1,100,Curveball,double,ground_ball
19,99,Four-Seam Fastball,double,line_drive
14,106,Curveball,double,line_drive
-13,92,Slider,double,ground_ball
13,92,Curveball,double,line_drive
23,100,Four-Seam Fastball,double,line_drive
-1,106,Four-Seam Fastball,double,ground_ball
54,77,Changeup,double,fly_ball
6,108,Curveball,double,line_drive
25,101,Four-Seam Fastball,double,fly_ball
-9,96,Four-Seam Fastball,error,ground_ball
-4,91,Slider,error,ground_ball
-22,93,Curveball,error,ground_ball
-3,96,Four-Seam Fastball,error,ground_ball
8,68,Curveball,error,ground_ball
27,100,Four-Seam Fastball,home run,fly_ball
24,103,Four-Seam Fastball,home run,fly_ball
38,103,Four-Seam Fastball,home run,fly_ball
34,93,Slider,home run,fly_ball
31,105,Four-Seam Fastball,home run,fly_ball
30,106,Four-Seam Fastball,home run,fly_ball
33,93,Four-Seam Fastball,home run,fly_ball
29,108,Four-Seam Fastball,home run,fly_ball
35,105,Four-Seam Fastball,home run,fly_ball
33,103,Four-Seam Fastball,home run,fly_ball
26,102,Changeup,home run,fly_ball
26,99,Four-Seam Fastball,home run,fly_ball
32,91,Slider,home run,fly_ball
31,103,Four-Seam Fastball,home run,fly_ball
34,100,Slider,home run,fly_ball
24,105,Four-Seam Fastball,home run,fly_ball
32,107,Four-Seam Fastball,home run,fly_ball
30,96,Slider,home run,fly_ball
33,88,Slider,home run,fly_ball
30,101,Four-Seam Fastball,home run,fly_ball
36,103,Four-Seam Fastball,home run,fly_ball
20,109,Four-Seam Fastball,home run,line_drive
30,106,Four-Seam Fastball,home run,fly_ball
30,98,Four-Seam Fastball,home run,fly_ball
35,103,Four-Seam Fastball,home run,fly_ball
24,102,Curveball,home run,line_drive
28,101,Four-Seam Fastball,home run,fly_ball
23,102,Four-Seam Fastball,home run,fly_ball
22,106,Slider,home run,line_drive
44,105,Four-Seam Fastball,home run,fly_ball
31,106,Four-Seam Fastball,home run,fly_ball
30,92,Four-Seam Fastball,out,line_drive
44,92,Four-Seam Fastball,out,fly_ball
12,100,Slider,out,line_drive
33,88,Four-Seam Fastball,out,fly_ball
8,98,Slider,out,ground_ball
33,81,Slider,out,fly_ball
-15,83,Slider,out,ground_ball
53,90,Four-Seam Fastball,out,fly_ball
-1,98,Curveball,out,ground_ball
49,84,Curveball,out,fly_ball
40,83,Four-Seam Fastball,out,fly_ball
17,50,Slider,out,ground_ball
14,106,Slider,out,line_drive
-29,91,Slider,out,ground_ball
17,87,Slider,out,line_drive
11,102,Curveball,out,line_drive
58,71,Slider,out,popup
69,80,Changeup,out,popup
29,82,Changeup,out,line_drive
-2,97,Slider,out,ground_ball
12,102,Slider,out,line_drive
-2,105,Four-Seam Fastball,out,ground_ball
28,99,Four-Seam Fastball,out,fly_ball
-41,79,Curveball,out,ground_ball
45,71,Curveball,out,fly_ball
-6,98,Curveball,out,ground_ball
-39,53,Slider,out,ground_ball
1,78,Curveball,out,ground_ball
41,95,Four-Seam Fastball,out,fly_ball
0,78,Slider,out,ground_ball
36,78,Four-Seam Fastball,out,fly_ball
19,84,Slider,out,line_drive
4,98,Slider,out,ground_ball
34,101,Four-Seam Fastball,out,fly_ball
-1,101,Four-Seam Fastball,out,ground_ball
47,73,Four-Seam Fastball,out,fly_ball
15,80,Four-Seam Fastball,out,line_drive
21,89,Four-Seam Fastball,out,line_drive
81,68,Four-Seam Fastball,out,popup
69,80,Four-Seam Fastball,out,popup
43,73,Slider,out,fly_ball
-2,98,Four-Seam Fastball,out,ground_ball
-30,91,Changeup,out,ground_ball
26,89,Four-Seam Fastball,out,line_drive
44,84,Four-Seam Fastball,out,fly_ball
48,103,Four-Seam Fastball,out,fly_ball
59,80,Four-Seam Fastball,out,popup
87,72,Four-Seam Fastball,out,popup
37,102,Four-Seam Fastball,out,fly_ball
36,93,Slider,out,fly_ball
44,95,Four-Seam Fastball,out,fly_ball
13,80,Four-Seam Fastball,out,line_drive
43,100,Slider,out,fly_ball
-21,82,Slider,out,ground_ball
-21,82,Changeup,out,ground_ball
-21,82,Slider,out,ground_ball
-21,82,Slider,out,ground_ball
-47,62,Slider,out,ground_ball
76,71,Four-Seam Fastball,out,popup
56,75,Four-Seam Fastball,out,popup
-21,82,Slider,out,ground_ball
8,85,Slider,out,ground_ball
38,100,Curveball,out,fly_ball
64,79,Slider,out,popup
-17,104,Four-Seam Fastball,out,ground_ball
1,89,Changeup,out,ground_ball
