pitcher_id,fullname,pitch_code,velocity,pitches,total,frequency,,,,,,,,
434378,Justin Verlander,Changeup,83,1,3631,0.000275406,,,,,,,,
434378,Justin Verlander,Changeup,84,4,3631,0.001101625,,,,,,,,
434378,Justin Verlander,Changeup,85,25,3631,0.006885156,,,,,,,,
434378,Justin Verlander,Changeup,86,37,3631,0.01019003,,,,,,,,
434378,Justin Verlander,Changeup,87,45,3631,0.01239328,,,,,,,,
434378,Justin Verlander,Changeup,88,19,3631,0.005232718,,,,,,,,
434378,Justin Verlander,Changeup,89,5,3631,0.001377031,,,,,,,,
434378,Justin Verlander,Curveball,76,11,3631,0.003029468,,,,,,,,
434378,Justin Verlander,Curveball,77,46,3631,0.012668686,,,,,,,,
434378,Justin Verlander,Curveball,78,150,3631,0.041310934,,,,,,,,
434378,Justin Verlander,Curveball,79,163,3631,0.044891215,,,,,,,,
434378,Justin Verlander,Curveball,80,134,3631,0.036904434,,,,,,,,
434378,Justin Verlander,Curveball,81,46,3631,0.012668686,,,,,,,,
434378,Justin Verlander,Curveball,82,9,3631,0.002478656,,,,,,,,
434378,Justin Verlander,Curveball,83,1,3631,0.000275406,,,,,,,,
434378,Justin Verlander,Four-Seam Fastball,90,1,3631,0.000275406,,,,,,,,
434378,Justin Verlander,Four-Seam Fastball,91,14,3631,0.003855687,,,,,,,,
434378,Justin Verlander,Four-Seam Fastball,92,109,3631,0.030019278,,,,,,,,
434378,Justin Verlander,Four-Seam Fastball,93,372,3631,0.102451115,,,,,,,,
434378,Justin Verlander,Four-Seam Fastball,94,533,3631,0.146791517,,,,,,,,
434378,Justin Verlander,Four-Seam Fastball,95,412,3631,0.113467364,,,,,,,,
434378,Justin Verlander,Four-Seam Fastball,96,145,3631,0.039933903,,,,,,,,
434378,Justin Verlander,Four-Seam Fastball,97,27,3631,0.007435968,,,,,,,,
434378,Justin Verlander,Four-Seam Fastball,98,4,3631,0.001101625,,,,,,,,
434378,Justin Verlander,Slider,81,1,3631,0.000275406,,,,,,,,
434378,Justin Verlander,Slider,83,2,3631,0.000550812,,,,,,,,
434378,Justin Verlander,Slider,84,17,3631,0.004681906,,,,,,,,
434378,Justin Verlander,Slider,85,58,3631,0.015973561,,,,,,,,
434378,Justin Verlander,Slider,86,184,3631,0.050674745,,,,,,,,
434378,Justin Verlander,Slider,87,353,3631,0.097218397,,,,,,,,
434378,Justin Verlander,Slider,88,223,3631,0.061415588,,,,,,,,
434378,Justin Verlander,Slider,89,75,3631,0.020655467,,,,,,,,
434378,Justin Verlander,Slider,90,15,3631,0.004131093,,,,,,,,
999999,Composite Starter,Changeup,58,1,289170,3.4581E-06,,,,,,,,
999999,Composite Starter,Changeup,61,1,289170,3.4581E-06,,,,,,,,
999999,Composite Starter,Changeup,65,3,289170,1.03745E-05,,,,,,,,
999999,Composite Starter,Changeup,66,4,289170,1.38326E-05,,,,,,,,
999999,Composite Starter,Changeup,67,15,289170,5.18726E-05,,,,,,,,
999999,Composite Starter,Changeup,68,6,289170,0.000020749,,,,,,,,
999999,Composite Starter,Changeup,69,16,289170,5.53307E-05,,,,,,,,
999999,Composite Starter,Changeup,70,17,289170,5.87889E-05,,,,,,,,
999999,Composite Starter,Changeup,71,17,289170,5.87889E-05,,,,,,,,
999999,Composite Starter,Changeup,72,11,289170,3.80399E-05,,,,,,,,
999999,Composite Starter,Changeup,73,29,289170,0.000100287,,,,,,,,
999999,Composite Starter,Changeup,74,73,289170,0.000252447,,,,,,,,
999999,Composite Starter,Changeup,75,138,289170,0.000477228,,,,,,,,
999999,Composite Starter,Changeup,76,310,289170,0.001072034,,,,,,,,
999999,Composite Starter,Changeup,77,740,289170,0.002559048,,,,,,,,
999999,Composite Starter,Changeup,78,1457,289170,0.005038559,,,,,,,,
999999,Composite Starter,Changeup,79,2204,289170,0.007621814,,,,,,,,
999999,Composite Starter,Changeup,80,2653,289170,0.009174534,,,,,,,,
999999,Composite Starter,Changeup,81,3154,289170,0.010907079,,,,,,,,
999999,Composite Starter,Changeup,82,4184,289170,0.014468997,,,,,,,,
999999,Composite Starter,Changeup,83,5866,289170,0.020285645,,,,,,,,
999999,Composite Starter,Changeup,84,6639,289170,0.022958813,,,,,,,,
999999,Composite Starter,Changeup,85,6531,289170,0.02258533,,,,,,,,
999999,Composite Starter,Changeup,86,5403,289170,0.018684511,,,,,,,,
999999,Composite Starter,Changeup,87,4371,289170,0.015115676,,,,,,,,
999999,Composite Starter,Changeup,88,2902,289170,0.010035619,,,,,,,,
999999,Composite Starter,Changeup,89,1429,289170,0.00494173,,,,,,,,
999999,Composite Starter,Changeup,90,739,289170,0.00255559,,,,,,,,
999999,Composite Starter,Changeup,91,417,289170,0.001442058,,,,,,,,
999999,Composite Starter,Changeup,92,190,289170,0.000657053,,,,,,,,
999999,Composite Starter,Changeup,93,34,289170,0.000117578,,,,,,,,
999999,Composite Starter,Changeup,94,6,289170,0.000020749,,,,,,,,
999999,Composite Starter,Changeup,95,1,289170,3.4581E-06,,,,,,,,
999999,Composite Starter,Curveball,61,1,289170,3.4581E-06,,,,,,,,
999999,Composite Starter,Curveball,62,2,289170,6.9163E-06,,,,,,,,
999999,Composite Starter,Curveball,63,4,289170,1.38326E-05,,,,,,,,
999999,Composite Starter,Curveball,64,10,289170,3.45817E-05,,,,,,,,
999999,Composite Starter,Curveball,65,31,289170,0.000107203,,,,,,,,
999999,Composite Starter,Curveball,66,44,289170,0.00015216,,,,,,,,
999999,Composite Starter,Curveball,67,81,289170,0.000280112,,,,,,,,
999999,Composite Starter,Curveball,68,137,289170,0.00047377,,,,,,,,
999999,Composite Starter,Curveball,69,258,289170,0.000892209,,,,,,,,
999999,Composite Starter,Curveball,70,416,289170,0.0014386,,,,,,,,
999999,Composite Starter,Curveball,71,670,289170,0.002316976,,,,,,,,
999999,Composite Starter,Curveball,72,1131,289170,0.003911194,,,,,,,,
999999,Composite Starter,Curveball,73,1733,289170,0.005993014,,,,,,,,
999999,Composite Starter,Curveball,74,2345,289170,0.008109417,,,,,,,,
999999,Composite Starter,Curveball,75,3054,289170,0.010561262,,,,,,,,
999999,Composite Starter,Curveball,76,3429,289170,0.011858077,,,,,,,,
999999,Composite Starter,Curveball,77,3973,289170,0.013739323,,,,,,,,
999999,Composite Starter,Curveball,78,4288,289170,0.014828648,,,,,,,,
