Time,X,Y,PitchType,PitchType2
0,-1.8,6.69,Changeup Mid,Changeup
0.1,-1.771,6.573,Changeup Mid,Changeup
0.2,-1.742,6.456,Changeup Mid,Changeup
0.3,-1.713,6.339,Changeup Mid,Changeup
0.4,-1.684,6.222,Changeup Mid,Changeup
0.5,-1.655,6.105,Changeup Mid,Changeup
0.6,-1.626,5.988,Changeup Mid,Changeup
0.7,-1.597,5.871,Changeup Mid,Changeup
0.8,-1.568,5.754,Changeup Mid,Changeup
0.9,-1.539,5.637,Changeup Mid,Changeup
1,-1.51,5.52,Changeup Mid,Changeup
1.1,-1.481,5.403,Changeup Mid,Changeup
1.2,-1.452,5.286,Changeup Mid,Changeup
1.3,-1.423,5.169,Changeup Mid,Changeup
1.4,-1.394,5.052,Changeup Mid,Changeup
1.5,-1.365,4.935,Changeup Mid,Changeup
1.6,-1.336,4.818,Changeup Mid,Changeup
1.7,-1.307,4.701,Changeup Mid,Changeup
1.8,-1.278,4.584,Changeup Mid,Changeup
1.9,-1.249,4.467,Changeup Mid,Changeup
2,-1.22,4.35,Changeup Mid,Changeup
2.1,-1.191,4.233,Changeup Mid,Changeup
2.2,-1.162,4.116,Changeup Mid,Changeup
2.3,-1.133,3.999,Changeup Mid,Changeup
2.4,-1.104,3.882,Changeup Mid,Changeup
2.5,-1.075,3.765,Changeup Mid,Changeup
2.6,-1.046,3.648,Changeup Mid,Changeup
2.7,-1.017,3.531,Changeup Mid,Changeup
2.8,-0.988,3.414,Changeup Mid,Changeup
2.9,-0.959,3.297,Changeup Mid,Changeup
3,-0.93,3.18,Changeup Mid,Changeup
3.1,-0.901,3.063,Changeup Mid,Changeup
3.2,-0.872,2.946,Changeup Mid,Changeup
3.3,-0.843,2.829,Changeup Mid,Changeup
3.4,-0.814,2.712,Changeup Mid,Changeup
3.5,-0.785,2.595,Changeup Mid,Changeup
3.6,-0.756,2.478,Changeup Mid,Changeup
3.7,-0.727,2.361,Changeup Mid,Changeup
3.8,-0.698,2.244,Changeup Mid,Changeup
3.9,-0.669,2.127,Changeup Mid,Changeup
4,-0.64,2.01,Changeup Mid,Changeup
4.1,-0.611,1.893,Changeup Mid,Changeup
4.2,-0.582,1.776,Changeup Mid,Changeup
4.3,-0.553,1.659,Changeup Mid,Changeup
4.4,-0.524,1.542,Changeup Mid,Changeup
4.5,-0.495,1.425,Changeup Mid,Changeup
4.6,-0.466,1.308,Changeup Mid,Changeup
4.7,-0.437,1.191,Changeup Mid,Changeup
4.8,-0.408,1.074,Changeup Mid,Changeup
4.9,-0.379,0.957,Changeup Mid,Changeup
5,-0.35,0.84,Changeup Mid,Changeup
5.1,-0.321,0.723,Changeup Mid,Changeup
5.2,-0.292,0.606,Changeup Mid,Changeup
5.3,-0.263,0.489,Changeup Mid,Changeup
5.4,-0.234,0.372,Changeup Mid,Changeup
5.5,-0.205,0.255,Changeup Mid,Changeup
4,-0.64,2.01,Changeup Mid,Changeup
4.1,-0.64,2.01,Changeup Mid,Changeup
4.2,-0.64,2.01,Changeup Mid,Changeup
4.3,-0.64,2.01,Changeup Mid,Changeup
4.4,-0.64,2.01,Changeup Mid,Changeup
4.5,-0.64,2.01,Changeup Mid,Changeup
4.6,-0.64,2.01,Changeup Mid,Changeup
4.7,-0.64,2.01,Changeup Mid,Changeup
4.8,-0.64,2.01,Changeup Mid,Changeup
4.9,-0.64,2.01,Changeup Mid,Changeup
5,-0.64,2.01,Changeup Mid,Changeup
5.1,-0.64,2.01,Changeup Mid,Changeup
5.2,-0.64,2.01,Changeup Mid,Changeup
5.3,-0.64,2.01,Changeup Mid,Changeup
5.4,-0.64,2.01,Changeup Mid,Changeup
5.5,-0.64,2.01,Changeup Mid,Changeup
5.6,-0.64,2.01,Changeup Mid,Changeup
5.7,-0.64,2.01,Changeup Mid,Changeup
5.8,-0.64,2.01,Changeup Mid,Changeup
5.9,-0.64,2.01,Changeup Mid,Changeup
6,-0.64,2.01,Changeup Mid,Changeup
0,-1.67,6.79,Curveball Mid,Curveball
0.1,-1.623636364,6.678863636,Curveball Mid,Curveball
0.2,-1.577272727,6.567727273,Curveball Mid,Curveball
0.3,-1.530909091,6.456590909,Curveball Mid,Curveball
0.4,-1.484545455,6.345454545,Curveball Mid,Curveball
0.5,-1.438181818,6.234318182,Curveball Mid,Curveball
0.6,-1.391818182,6.123181818,Curveball Mid,Curveball
0.7,-1.345454545,6.012045455,Curveball Mid,Curveball
0.8,-1.299090909,5.900909091,Curveball Mid,Curveball
0.9,-1.252727273,5.789772727,Curveball Mid,Curveball
1,-1.206363636,5.678636364,Curveball Mid,Curveball
1.1,-1.16,5.5675,Curveball Mid,Curveball
1.2,-1.113636364,5.456363636,Curveball Mid,Curveball
1.3,-1.067272727,5.345227273,Curveball Mid,Curveball
1.4,-1.020909091,5.234090909,Curveball Mid,Curveball
1.5,-0.974545455,5.122954545,Curveball Mid,Curveball
1.6,-0.928181818,5.011818182,Curveball Mid,Curveball
1.7,-0.881818182,4.900681818,Curveball Mid,Curveball
1.8,-0.835454545,4.789545455,Curveball Mid,Curveball
1.9,-0.789090909,4.678409091,Curveball Mid,Curveball
2,-0.742727273,4.567272727,Curveball Mid,Curveball
2.1,-0.696363636,4.456136364,Curveball Mid,Curveball
2.2,-0.65,4.345,Curveball Mid,Curveball
2.3,-0.603636364,4.233863636,Curveball Mid,Curveball
2.4,-0.557272727,4.122727273,Curveball Mid,Curveball
2.5,-0.510909091,4.011590909,Curveball Mid,Curveball
2.6,-0.464545455,3.900454545,Curveball Mid,Curveball
2.7,-0.418181818,3.789318182,Curveball Mid,Curveball
2.8,-0.371818182,3.678181818,Curveball Mid,Curveball
2.9,-0.325454545,3.567045455,Curveball Mid,Curveball
3,-0.279090909,3.455909091,Curveball Mid,Curveball
3.1,-0.232727273,3.344772727,Curveball Mid,Curveball
3.2,-0.186363636,3.233636364,Curveball Mid,Curveball
3.3,-0.14,3.1225,Curveball Mid,Curveball
3.4,-0.093636364,3.011363636,Curveball Mid,Curveball
3.5,-0.047272727,2.900227273,Curveball Mid,Curveball
3.6,-0.000909091,2.789090909,Curveball Mid,Curveball
3.7,0.045454545,2.677954545,Curveball Mid,Curveball
3.8,0.091818182,2.566818182,Curveball Mid,Curveball
3.9,0.138181818,2.455681818,Curveball Mid,Curveball
4,0.184545455,2.344545455,Curveball Mid,Curveball
