Pitcher,PitchNumber,Velocity
Justin Verlander,1,92.78
Justin Verlander,2,92.99
Justin Verlander,3,93.4
Justin Verlander,4,93.59
Justin Verlander,5,93.96
Justin Verlander,6,93.89
Justin Verlander,7,94.03
Justin Verlander,8,93.79
Justin Verlander,9,93.94
Justin Verlander,10,93.94
Justin Verlander,11,94.09
Justin Verlander,12,94.02
Justin Verlander,13,94
Justin Verlander,14,93.86
Justin Verlander,15,94.1
Justin Verlander,16,93.98
Justin Verlander,17,93.72
Justin Verlander,18,93.91
Justin Verlander,19,93.84
Justin Verlander,20,93.91
Justin Verlander,21,93.92
Justin Verlander,22,94.05
Justin Verlander,23,93.86
Justin Verlander,24,94.01
Justin Verlander,25,94.14
Justin Verlander,26,93.96
Justin Verlander,27,94.17
Justin Verlander,28,94.37
Justin Verlander,29,94.09
Justin Verlander,30,93.87
Justin Verlander,31,94.12
Justin Verlander,32,94.12
Justin Verlander,33,94.29
Justin Verlander,34,94.1
Justin Verlander,35,94.26
Justin Verlander,36,94.22
Justin Verlander,37,94.34
Justin Verlander,38,94.37
Justin Verlander,39,93.93
Justin Verlander,40,94.27
Justin Verlander,41,94.23
Justin Verlander,42,94.29
Justin Verlander,43,94.13
Justin Verlander,44,94.22
Justin Verlander,45,94.4
Justin Verlander,46,94.31
Justin Verlander,47,94.54
Justin Verlander,48,94.52
Justin Verlander,49,94.26
Justin Verlander,50,94.38
Justin Verlander,51,94.54
Justin Verlander,52,94.7
Justin Verlander,53,94.67
Justin Verlander,54,94.66
Justin Verlander,55,94.66
Justin Verlander,56,94.43
Justin Verlander,57,94.49
Justin Verlander,58,94.59
Justin Verlander,59,94.65
Justin Verlander,60,94.47
Justin Verlander,61,94.53
Justin Verlander,62,94.44
Justin Verlander,63,94.71
Justin Verlander,64,94.5
Justin Verlander,65,94.29
Justin Verlander,66,94.26
Justin Verlander,67,94.39
Justin Verlander,68,94.41
Justin Verlander,69,94.72
Justin Verlander,70,94.52
Justin Verlander,71,94.54
Justin Verlander,72,94.66
Justin Verlander,73,94.55
Justin Verlander,74,94.65
Justin Verlander,75,94.6
Justin Verlander,76,94.4
Justin Verlander,77,94.7
Justin Verlander,78,94.34
Justin Verlander,79,94.44
Justin Verlander,80,94.68
Justin Verlander,81,94.6
Justin Verlander,82,94.78
Justin Verlander,83,94.6
Justin Verlander,84,94.61
Justin Verlander,85,94.65
Justin Verlander,86,94.85
Justin Verlander,87,94.74
Justin Verlander,88,94.81
Justin Verlander,89,94.65
Justin Verlander,90,94.54
Justin Verlander,91,94.42
Justin Verlander,92,94.21
Justin Verlander,93,94.37
Justin Verlander,94,94.76
