PitchType,Batter,HomePlate_X,HomePlate_Y,Zone,hit_location,bb_type,balls,strikes,spray_angle,adjusted_spray_angle,x_loc,y_loc,launch_speed,launch_angle,play,swing,babip_value,woba_value,woba_denom
Curve,Right,0.20000000000000001,0.10000000000000001,14,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,1.5,7,8,Line Drive,2,1,-5,5,-19.300000000000001,232.59999999999999,76,20,1,1,1,0.90000000000000002,1
Four-Seam Fastball,Left,-1,1.5,11,,,1,1,,,,,,,0,0,,,
Changeup,Left,-1.2,1.5,7,,,1,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.5,1,,,0,0,,,,,,,0,0,,,
Changeup,Left,-1.3,1,11,,,3,2,,,,,,,0,0,0,0.69999999999999996,1
Four-Seam Fastball,Left,-1.1000000000000001,1.7,6,,,3,2,,,,,,,0,1,,,
Slider,Left,-0.10000000000000001,1.2,14,,,2,2,,,,,,,0,0,,,
Changeup,Left,-1.2,1.2,14,,,2,2,,,,,,,0,1,,,
Changeup,Left,-1.6000000000000001,1.2,13,,,2,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3999999999999999,2,14,,,1,1,,,,,,,0,0,,,
Changeup,Left,-1.6000000000000001,1,13,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1,2.1000000000000001,3,,,0,0,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.3999999999999999,1.8,11,4,Popup,1,1,19.800000000000001,19.800000000000001,40.200000000000003,110.7,47,37,1,1,0,0,1
Four-Seam Fastball,Right,-1.1000000000000001,1.8,13,,,0,1,,,,,,,0,0,,,
Curve,Right,0.20000000000000001,-0.59999999999999998,4,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.8,3,3,Ground Ball,3,2,39.899999999999999,-39.899999999999999,71.900000000000006,86.599999999999994,60,-4,1,1,0,0,1
Four-Seam Fastball,Left,-1.2,1.8,4,,,3,2,,,,,,,0,1,,,
Curve,Left,0.69999999999999996,-0.80000000000000004,11,,,2,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3999999999999999,2,4,,,2,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3,1.8,5,,,2,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.6000000000000001,1,,,2,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.8999999999999999,14,,,1,1,,,,,,,0,0,,,
Changeup,Left,-1.7,1.1000000000000001,9,,,1,0,,,,,,,0,1,,,
Slider,Right,0.20000000000000001,0.5,3,6,Ground Ball,1,2,-10.800000000000001,-10.800000000000001,-16.800000000000001,95.5,73,-47,1,1,0,0,1
Slider,Right,-0.20000000000000001,-0.10000000000000001,14,,,0,2,,,,,,,0,0,,,
Slider,Right,-0.29999999999999999,0.59999999999999998,14,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3,1.5,4,4,Ground Ball,2,0,17.199999999999999,-17.199999999999999,36.399999999999999,115.8,98,-22,1,1,0,0,1
Changeup,Left,-1.5,1.2,13,,,1,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.8,13,,,0,0,,,,,,,0,0,,,
Changeup,Left,-1.5,1.1000000000000001,5,8,Fly Ball,1,0,-3.8999999999999999,3.8999999999999999,-19.300000000000001,298.60000000000002,88,41,1,1,0,0,1
Four-Seam Fastball,Left,-1.2,1.8,11,,,0,0,,,,,,,0,0,,,
Slider,Right,-0.29999999999999999,0.80000000000000004,5,7,Line Drive,1,0,-15,-15,-52.299999999999997,200.90000000000001,75,16,1,1,1,0.90000000000000002,1
Slider,Right,0,1,13,,,0,0,,,,,,,0,0,,,
Slider,Left,-0.20000000000000001,0.90000000000000002,9,1,Ground Ball,2,2,8.6999999999999993,-8.6999999999999993,8.5999999999999996,51.100000000000001,65,-7,1,1,1,0.90000000000000002,1
Curve,Right,0.29999999999999999,-0.40000000000000002,8,,,0,0,,,,,,,0,0,,,
Changeup,Left,-1.3,1.1000000000000001,13,2,,1,2,,,,,,,0,1,0,0,1
Changeup,Left,-1.3999999999999999,1.3,14,,,1,1,,,,,,,0,1,,,
Changeup,Left,-1.3999999999999999,1.2,11,,,0,1,,,,,,,0,0,,,
Changeup,Left,-1.3999999999999999,1.3,9,,,0,0,,,,,,,0,1,,,
Curve,Left,0.90000000000000002,-0.20000000000000001,9,10,Fly Ball,1,1,21.100000000000001,-21.100000000000001,165.69999999999999,429.39999999999998,98,24,1,1,0,2,1
Four-Seam Fastball,Left,-1,2,14,,,0,1,,,,,,,0,0,,,
Changeup,Left,-1.6000000000000001,1.2,8,,,0,0,,,,,,,0,1,,,
Changeup,Left,-1.3999999999999999,1.3999999999999999,7,4,Ground Ball,2,2,12.1,-12.1,50.399999999999999,232.59999999999999,98,-1,1,1,1,0.90000000000000002,1
