x_loc,y_loc,pitchtype,outcome,bb_type
226.7,246.2,Slider,double,line_drive
-168.7,173.5,Slider,double,fly_ball
-234.4,225.8,Slider,double,ground_ball
-33.4,428.1,Slider,double,fly_ball
-241.8,228.2,Four-Seam Fastball,double,fly_ball
-205.3,251.6,Curveball,double,line_drive
-147.5,140.3,Four-Seam Fastball,double,ground_ball
-69.9,260.4,Four-Seam Fastball,double,fly_ball
-95.8,356.9,Four-Seam Fastball,double,line_drive
-214.7,299.7,Four-Seam Fastball,double,line_drive
-229.3,225.8,Changeup,double,ground_ball
-42.3,391.9,Slider,double,line_drive
-167.8,290.9,Curveball,double,line_drive
-225,264.5,Four-Seam Fastball,double,fly_ball
182.8,230.8,Slider,double,line_drive
-72.9,328.7,Four-Seam Fastball,double,line_drive
213.1,268.9,Four-Seam Fastball,double,ground_ball
-210.9,205.8,Curveball,double,ground_ball
188.7,196.3,Slider,double,ground_ball
95,392,Four-Seam Fastball,double,line_drive
67.5,368,Four-Seam Fastball,double,line_drive
80.5,122.5,Curveball,double,line_drive
169.2,236.1,Four-Seam Fastball,double,line_drive
50.8,75.4,Four-Seam Fastball,double,ground_ball
-158.7,162,Changeup,double,fly_ball
-92.6,104.1,Curveball,double,line_drive
-110,400,Four-Seam Fastball,double,fly_ball
-37.9,93.9,Four-Seam Fastball,error,ground_ball
-48,97.7,Slider,error,ground_ball
124.7,193.7,Curveball,error,ground_ball
59.7,106.6,Four-Seam Fastball,error,ground_ball
-73.7,87.9,Curveball,error,ground_ball
253.3,328.9,Four-Seam Fastball,home run,fly_ball
258.4,264.8,Four-Seam Fastball,home run,fly_ball
137,376.4,Four-Seam Fastball,home run,fly_ball
-155.7,371.3,Four-Seam Fastball,home run,fly_ball
265.1,341.3,Four-Seam Fastball,home run,fly_ball
14.9,440,Four-Seam Fastball,home run,fly_ball
-288.5,292.8,Slider,home run,fly_ball
-56.5,444.4,Four-Seam Fastball,home run,fly_ball
223.3,369.8,Four-Seam Fastball,home run,fly_ball
-184.5,378.5,Four-Seam Fastball,home run,fly_ball
-35.9,424,Changeup,home run,fly_ball
177.5,343.2,Slider,home run,fly_ball
-242.3,288.3,Slider,home run,fly_ball
78.3,419,Four-Seam Fastball,home run,fly_ball
100.4,399.6,Four-Seam Fastball,home run,fly_ball
201.6,364.4,Four-Seam Fastball,home run,fly_ball
-32.9,446.3,Four-Seam Fastball,home run,fly_ball
194.2,332.2,Slider,home run,fly_ball
241.6,282.5,Slider,home run,fly_ball
-59.4,408.7,Four-Seam Fastball,home run,fly_ball
121.8,433.7,Four-Seam Fastball,home run,fly_ball
-186.3,394.9,Four-Seam Fastball,home run,line_drive
-233.7,297,Four-Seam Fastball,home run,fly_ball
217.2,311.3,Four-Seam Fastball,home run,fly_ball
256.4,355.9,Four-Seam Fastball,home run,fly_ball
208.2,349.4,Curveball,home run,line_drive
242.1,324.5,Slider,home run,line_drive
-77.5,400.7,Four-Seam Fastball,home run,fly_ball
-230.6,313.5,Four-Seam Fastball,home run,fly_ball
266.2,317.1,Four-Seam Fastball,home run,fly_ball
-149.1,403.2,Four-Seam Fastball,home run,fly_ball
113.2,369.9,Four-Seam Fastball,out,line_drive
-53.1,87.6,Changeup,out,popup
109.5,276,Four-Seam Fastball,out,fly_ball
93.9,324.1,Four-Seam Fastball,out,fly_ball
86.7,128.9,Slider,out,ground_ball
83.1,303.9,Slider,out,fly_ball
-37.5,87.6,Slider,out,ground_ball
-135.4,226.4,Four-Seam Fastball,out,fly_ball
-58.2,99,Curveball,out,ground_ball
55.6,362.7,Slider,out,fly_ball
-32.8,106.6,Four-Seam Fastball,out,ground_ball
11,112.6,Slider,out,ground_ball
145.5,282.2,Slider,out,line_drive
86.4,77.4,Four-Seam Fastball,out,ground_ball
132.4,243.4,Slider,out,line_drive
46.2,129.9,Slider,out,ground_ball
44.1,161.3,Slider,out,popup
-32.8,52.1,Slider,out,ground_ball
25.5,126.9,Changeup,out,ground_ball
34.4,102.8,Slider,out,ground_ball
-55.6,96.4,Slider,out,ground_ball
50.8,119.3,Slider,out,ground_ball
-3.8,415.3,Four-Seam Fastball,out,fly_ball
-52.9,106.1,Slider,out,popup
-58.1,217.8,Curveball,out,fly_ball
53.4,88.8,Changeup,out,ground_ball
-25,417,Four-Seam Fastball,out,fly_ball
